City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.9167,33.91,60,40,17.72,CL,1622329961
Yellowknife,62.456,-114.3525,55.33,34,100,3.0,CA,1622330069
Panzhihua,26.5851,101.7128,70.52,80,50,4.23,CN,1622330069
Talnakh,69.4865,88.3972,26.15,98,89,2.28,RU,1622330070
Chokurdakh,70.6333,147.9167,58.1,34,6,13.94,RU,1622330070
Hilo,19.7297,-155.09,82.13,70,20,11.5,US,1622330071
Kaitangata,-46.2817,169.8464,49.78,95,100,10.67,NZ,1622330071
Iwamizawa,43.2003,141.7597,58.44,89,100,2.64,JP,1622330072
Mataura,-46.1927,168.8643,49.48,95,100,3.91,NZ,1622330072
Zyryanovsk,49.7386,84.2719,45.7,72,0,3.09,KZ,1622330072
Saint-Philippe,-21.3585,55.7679,69.35,81,15,5.14,RE,1622330073
Busselton,-33.65,115.3333,53.1,84,98,21.0,AU,1622330073
Vila Franca do Campo,37.7167,-25.4333,63.01,87,49,6.53,PT,1622330073
Severo-Kuril'sk,50.6789,156.125,41.56,89,100,9.1,RU,1622330074
Vanavara,60.34,102.2797,36.39,81,63,6.4,RU,1622330055
Abhā,18.2164,42.5053,64.65,68,0,1.03,SA,1622330074
Marawi,7.9986,124.2928,70.65,92,100,0.6,PH,1622329975
Nikolskoye,59.7035,30.7861,49.89,84,4,3.96,RU,1622330074
Tasiilaq,65.6145,-37.6368,39.36,90,100,13.76,GL,1622330075
Ergani,38.2653,39.7621,66.92,50,1,3.91,TR,1622330075
Butaritari,3.0707,172.7902,82.8,78,100,14.41,KI,1622330075
Nong Khai,17.9167,103.0833,82.04,86,78,2.77,TH,1622330076
Rio Grande,-32.035,-52.0986,52.95,60,5,17.18,BR,1622330076
Port Alfred,-33.5906,26.891,57.96,79,86,11.56,ZA,1622330076
Los Llanos de Aridane,28.6585,-17.9182,64.15,90,0,11.72,ES,1622330077
Kanniyākumāri,8.0833,77.5667,79.77,83,95,21.56,IN,1622330077
Carnarvon,-24.8667,113.6333,55.47,100,3,4.61,AU,1622330077
Mar del Plata,-38.0023,-57.5575,45.12,59,40,11.99,AR,1622330078
Kahului,20.8947,-156.47,86.02,57,40,12.66,US,1622330078
Bredasdorp,-34.5322,20.0403,53.28,91,49,2.82,ZA,1622330078
Rikitea,-23.1203,-134.9692,76.86,86,96,20.89,PF,1622330078
Saint Paul Harbor,57.79,-152.4072,47.71,87,90,9.22,US,1622330079
Avarua,-21.2078,-159.775,78.85,61,20,5.75,CK,1622330079
Eenhana,-17.4667,16.3333,56.88,32,0,6.53,NA,1622330079
Guerrero Negro,27.9769,-114.0611,66.52,64,60,22.03,MX,1622330080
Albany,42.6001,-73.9662,52.92,72,100,3.09,US,1622330080
Tual,-5.6667,132.75,81.05,80,89,21.03,ID,1622330080
Poya,-21.35,165.15,71.37,54,70,10.25,NC,1622330080
Lebu,-37.6167,-73.65,49.48,76,50,7.72,CL,1622330081
Cape Town,-33.9258,18.4232,55.11,87,12,3.29,ZA,1622329966
Puerto Ayora,-0.7393,-90.3518,74.55,86,45,8.99,EC,1622330081
Manono,-7.3,27.4167,65.35,41,53,3.56,CD,1622330081
Vaini,-21.2,-175.2,77.16,94,75,2.3,TO,1622330082
Rulenge,-2.7175,30.6325,66.58,77,100,2.66,TZ,1622330082
Cherskiy,68.75,161.3,56.89,35,20,12.5,RU,1622330082
Kathmandu,27.7167,85.3167,64.62,94,20,4.61,NP,1622329886
Nabire,-3.3667,135.4833,78.96,89,100,3.0,ID,1622330083
Omaruru,-21.4333,15.9333,59.59,30,60,4.21,NA,1622329959
Sittwe,20.15,92.9,81.46,85,72,4.65,MM,1622330083
Batangafo,7.3008,18.2833,75.06,72,100,4.45,CF,1622330083
